x,y
620199.17,9642899.739
620274.692,9642887.152
620331.219,9642873.252
620346.451,9642866.28
620370.546,9642854.232
620415.085,9642831.963
620457.687,9642804.853
620495.447,9642776.774
620563.223,9642760.314
620630.999,9642738.045
620691.029,9642711.903
620751.059,9642677.047
620802.005,9642635.429
620819.803,9642620.89
620841.859,9642606.066
620859.099,9642597.974
620894.82,9642585.947
620919.541,9642587.663
620935.99,9642590.875
620968.909,9642602.493
621001.59,9642617.114
621008.403,9642620.934
621021.18,9642628.099
621062.532,9642654.34
621086.34,9642669.447
621131.115,9642693.723
621163.33,9642707.415
621188.922,9642711.366
621218.478,9642715.928
621272.363,9642714.655
621318.187,9642698.532
621358.071,9642662.467
621393.333,9642630.581
621430.704,9642596.788
621458.629,9642561.909
621476.573,9642544.408
621497.56,9642526.004
621498.913,9642525.122
621537.548,9642503.78
621591.858,9642478.747
621646.592,9642462.199
621695.414,9642447.439
621769.214,9642432.074
621824.372,9642415.527
621877.833,9642382.007
621905.919,9642354.217
621918.142,9642342.124
621941.471,9642303.637
621963.362,9642267.151
622014.593,9642138.714
622049.449,9642081.588
622097.845,9642012.897
622093.535,9642000.318
622115.505,9641964.908
622172.294,9641881.489
622217.273,9641834.839
622271.213,9641783.19
622271.244,9641783.162
622326.402,9641734.09
622367.432,9641711.449
622376.292,9641706.56
622428.671,9641684.14
622483.551,9641666.83
622532.02,9641654.551
622588.12,9641642.341
622633.989,9641636.391
622613.691,9641697.763
622618.354,9641690.068
622668.716,9641676.359
622684.9,9641671.954
622745.603,9641696.235
622859.255,9641768.575
622919.822,9641795.535
622958.685,9641793.863
623001.214,9641789.184
623035.759,9641763.832
623079.435,9641707.004
623112.267,9641649.546
623127.324,9641607.888
623134.549,9641570.91
623126.187,9641499.932
623123.21,9641439.655
623148.497,9641316.431
623166.098,9641268.618
623240.637,9641180.077
623340.327,9641096.593
623452.376,9641036.752
623535.613,9640999.566
623591.902,9640973.797
623653.222,9640942.933
623715.996,9640911.338
623761.064,9640888.654
623813.393,9640862.316
623878.617,9640828.071
623968.105,9640777.244
624028.628,9640743.146
624121.931,9640683.647
624197.328,9640625.65
624263.546,9640574.713
624302.964,9640546.168
624358.659,9640510.285
624445.059,9640455.471
624502.091,9640420.103
624587.408,9640375.954
624639.942,9640346.072
624697.599,9640315.427
624773.718,9640276.27
624836.906,9640243.765
624912.372,9640173.663
624958.167,9640130.519
625012.012,9640081.187
625058.103,9640046.598
625131.269,9639991.691
625206.726,9639939.756
625254.237,9639907.628
625323.452,9639844.591
625340.007,9639829.514
625410.796,9639714.913
625434.976,9639638.346
625449.034,9639591.902
625465.948,9639509.967
625480.835,9639420.307
625487.901,9639378.854
625502.411,9639290.612
625517.382,9639241.338
625543.177,9639182.54
625589.284,9639082.916
625635.083,9638974.101
625676.649,9638870.554
625722.066,9638798.731
625772.969,9638718.234
625802.648,9638682.739
625836.242,9638653.767
625890.542,9638619.088
625949.808,9638581.237
626024.141,9638552.348
626139.449,9638510.163
626180.746,9638497.803
626317.42,9638456.897
626392.762,9638470.319
626554.785,9638483.973
626933.677,9638518.343
627110.393,9638554.478
627185.054,9638565.818
627270.606,9638584.577
627359.603,9638581.377
627392.668,9638578.927
627489.268,9638541.808
627551.504,9638500.151
627615.52,9638459.613
627666.662,9638429.22
627709.912,9638387.205
627779.661,9638311.666
627789.456,9638296.63
627854.211,9638197.225
627921.862,9638093.797
627974.551,9638019.642
628032.847,9637906.119
628186.989,9637751.976
628252.958,9637688.807
628382.9,9637606.992
628460.126,9637573.985
628501.36,9637559.336
628580.327,9637555.663
628623.199,9637553.669
628624.363,9637484.851
628625.166,9637484.921
628624.507,9637476.352
628619.73,9637414.261
628604.872,9637372.658
628590.059,9637370.129
628588.8,9637369.914
628571.132,9637371.605
628524.063,9637367.925
628519.303,9637366.721
628514.599,9637365.532
628474.433,9637355.375
628422.243,9637339.015
628381.434,9637307.385
628341.864,9637263.056
628316.284,9637221.236
628300.894,9637183.187
628250.764,9637030.978
628213.435,9636900.319
628192.785,9636839.18
628183.875,9636812.79
628110.985,9636696.201
628082.845,9636648.041
628068.726,9636609.992
628062.196,9636561.762
628060.736,9636507.173
628066.705,9636397.974
628052.555,9636351.034
628025.726,9636316.834
627991.276,9636281.385
627955.556,9636249.745
627803.817,9636128.286
627724.788,9636075.177
627675.088,9636044.847
627587.219,9636007.008
627543.959,9635998.238
627396.451,9635996.108
627295.431,9635991.128
627233.652,9635985.138
627185.292,9635975.118
627131.813,9635954.949
627087.233,9635933.489
627072.993,9635924.659
627093.383,9635875.069
627163.802,9635646.361
627181.422,9635594.262
627211.782,9635549.742
627239.651,9635520.462
627291.401,9635460.603
627288.691,9635364.164
627292.301,9635305.754
627299.646,9635253.086
627299.928,9635251.059
627300.189,9635249.187
627295.293,9635244.127
627279.126,9635227.423
627279.117,9635227.413
627258.714,9635206.331
627172.537,9635170.671
626775.822,9635011.691
626692.616,9634973.057
626497.974,9634904.711
626421.417,9634880.839
626418.627,9634879.969
626221.61,9634818.534
626184.465,9634809.619
626136.342,9634790.369
626127.684,9634786.906
626107.25,9634778.732
626089.567,9634771.659
626084.268,9634769.539
626084.549,9634769.347
626076.666,9634766.498
626076.662,9634766.496
626061.352,9634760.197
625951.192,9634711.556
625667.397,9634619.432
625511.387,9634552.571
625282.571,9634466.396
625181.535,9634423.304
625165.192,9634396.558
625150.334,9634340.1
625145.874,9634230.148
625136.782,9634041.509
625136.508,9634035.833
625134.309,9633990.197
625063.187,9633872.341
625056.921,9633866.458
625059.23,9633865.786
625095.336,9633855.273
625096.758,9633854.859
625100.042,9633853.904
625125.628,9633846.459
625430.835,9633752.94
625464.585,9633740.21
625489.204,9633492.722
625497.404,9633293.384
625468.924,9633150.005
625472.444,9633131.075
625524.453,9633031.776
625561.483,9632940.297
625560.803,9632929.757
625550.613,9632913.427
625543.158,9632906.16
625524.103,9632887.587
625322.425,9632747.709
625316.923,9632741.513
625307.845,9632731.289
625304.625,9632713.719
625309.295,9632691.699
625326.075,9632666.679
625346.134,9632656.489
625578.602,9632597.2
625585.202,9632588.52
625585.892,9632571.66
625581.342,9632540.64
625571.342,9632378.481
625823.56,9632481.92
625842.59,9632495.78
625937.849,9632519.75
625988.569,9632541.68
626074.818,9632575.289
626116.688,9632589.539
626166.147,9632608.919
626342.506,9632669.788
626385.675,9632678.968
626406.015,9632681.358
626415.075,9632456.71
626384.135,9632336.181
626376.28,9631657.948
626376.27,9631657.116
626369.954,9631111.722
626338.454,9630933.203
626318.134,9630887.484
626253.378,9630815.817
626252.724,9630815.094
626252.512,9630815.176
626252.169,9630815.308
626220.775,9630827.374
626132.715,9630837.954
625998.294,9630847.571
625997.221,9630847.648
625997.205,9630847.649
625986.787,9630848.394
625812.038,9630897.014
625766.319,9630900.184
625719.359,9630896.574
625695.839,9630883.044
625688.616,9630875.59
625676.149,9630862.724
625610.111,9630763.493
625610.08,9630763.445
625599.002,9630746.802
625575.09,9630710.877
625574.583,9630710.117
625544.71,9630665.236
625511.051,9630625.867
625507.658,9630623.216
625470.411,9630594.117
625469.077,9630591.376
625458.981,9630570.627
625450.731,9630514.748
625443.241,9630503.767
625437.941,9630495.998
625418.531,9630477.358
625398.313,9630457.948
625336.432,9630398.539
625301.502,9630354.089
625226.573,9630278.53
625206.413,9630263.42
625179.583,9630251.86
625006.864,9630228.361
624973.215,9630209.951
624952.255,9630180.741
624917.335,9630108.352
624914.772,9630104.994
624898.915,9630084.222
624862.175,9630070.212
624821.446,9630072.152
624771.916,9630082.312
624551.298,9630157.242
624492.319,9630171.532
624414.769,9630176.292
624355.72,9630164.232
624292.85,9630133.112
624164.581,9630047.393
624132.345,9630020.663
624128.807,9630017.73
624090.292,9629985.794
624052.192,9629966.114
624017.423,9629953.574
623957.573,9629942.614
623930.733,9629942.965
623810.134,9629973.624
623739.135,9629964.205
623685.165,9629929.285
623645.796,9629887.375
623594.356,9629803.556
623502.937,9629611.048
623495.297,9629600.358
623452.757,9629572.418
623335.918,9629527.329
623309.878,9629468.279
623299.73,9629453.737
623298.172,9629451.505
623286.388,9629434.62
623274.958,9629381.28
623280.038,9629368.58
623313.688,9629355.88
623364.488,9629315.241
623378.457,9629272.061
623381.637,9629192.052
623376.478,9629158.075
623376.404,9629157.588
623375.263,9629150.075
623375.016,9629148.451
623370.837,9629120.932
623368.611,9629116.479
623363.108,9629105.473
623362.704,9629104.665
623362.159,9629105.204
623362.005,9629105.356
623353.487,9629113.782
623349.963,9629117.272
623348.285,9629117.343
623348.072,9629117.352
623326.954,9629118.25
623281.401,9629120.187
623255.205,9629125.188
623125.899,9629175.327
623030.898,9629267.689
622941.175,9629431.301
622906.869,9629521.024
622888.734,9629692.012
622888.397,9629695.192
622885.758,9629898.387
622888.533,9629938.345
622868.668,9629938.345
