x,y
636903.621,9617622.105
636843.052,9617663.226
636801.277,9617691.587
636796.036,9617696.534
636768.38,9617728.158
636739.16,9617771.807
636727.975,9617791.812
636693.784,9617898.618
636684.792,9617925.207
636669.239,9617971.193
636654.66,9618054.507
636644.888,9618081.077
636627.733,9618127.724
636585.795,9618180.447
636510.053,9618253.621
636465.715,9618285.633
636436.263,9618302.809
636377.304,9618344.955
636343.915,9618368.823
636291.924,9618405.989
636242.275,9618455.556
636240.264,9618457.564
636202.747,9618509.75
636160.301,9618558.57
636121.861,9618602.782
636052.682,9618656.93
636005.667,9618687.468
635962.874,9618708.461
635936.525,9618720.9
635859.929,9618769.72
635812.913,9618820.824
635762.202,9618875.945
635732.662,9618902.099
635708.984,9618918.61
635695.765,9618934.767
635694.352,9618936.019
635669.341,9618966.441
635640.786,9618990.584
635606.283,9619014.893
635545.288,9619036.802
635402.362,9619068.246
635319.465,9619079.68
635230.851,9619091.114
635159.388,9619154.001
635070.774,9619234.04
635019.852,9619294.755
635010.402,9619306.022
634993.61,9619332.036
634980.563,9619352.247
634966.976,9619394.814
634963.128,9619421.989
634965.893,9619445.317
634976.355,9619460.107
634987.403,9619469.336
634996.075,9619476.58
634999.378,9619477.785
635025.415,9619487.282
635061.007,9619488.364
635084.936,9619480.669
635108.263,9619465.037
635123.775,9619456.139
635148.057,9619444.982
635159.367,9619439.785
635192.675,9619432.09
635231.995,9619432.811
635251.114,9619443.994
635260.904,9619456.132
635277.688,9619476.941
635301.617,9619504.116
635313.012,9619520.54
635327.229,9619541.032
635326.301,9619569.282
635314.523,9619578.356
635310.996,9619581.073
635291.036,9619594.06
635236.685,9619620.754
635226.778,9619625.969
635145.539,9619668.732
635072.911,9619710.336
635037.066,9619730.87
634987.877,9619768.582
634970.769,9619781.543
634929.219,9619820
634835.309,9619931.299
634776.629,9619990.339
634709.292,9620029.659
634676.345,9620040.001
634632.576,9620090.383
634578.586,9620161.688
634527.482,9620203.053
634463.632,9620248.385
634411.205,9620290.952
634372.005,9620353.84
634364.911,9620377.408
634326.673,9620476.369
634308.625,9620523.078
634268.715,9620597.216
634247.233,9620619.884
634238.947,9620634.711
634207.503,9620689.023
634158.909,9620786.212
634090.304,9620937.714
634089.03,9620941.341
634053.144,9621043.479
634072.511,9621062.597
634093.041,9621082.862
634062.602,9621163.809
634019.384,9621255.781
633932.551,9621440.571
633908.305,9621493.389
633777.573,9621778.177
633752.401,9621812.394
633653.468,9621946.874
633635.503,9621971.294
633701.612,9622050.096
633798.624,9622165.737
634058.311,9622373.83
634147.741,9622461.538
634639.596,9622848.489
634770.3,9622948.234
634819.968,9622996.611
634836.739,9623012.947
634853.263,9623011.035
634880.453,9623029.974
634895.198,9623045.666
634929.558,9623113.033
634942.342,9623158.012
634946.535,9623187.84
634941.801,9623252.502
634930.64,9623286.524
634921.306,9623312.091
634912.919,9623372.086
634920.58,9623419.204
634930.843,9623463.802
634947.279,9623508.105
634954.719,9623523.053
634969.126,9623532.928
634968.65,9623548.847
634968.72,9623549.932
634980.08,9623726.005
634988.53,9623748.225
635008.02,9623768.555
635014.37,9623797.125
635013.1,9623835.224
634998.5,9623905.714
634994.05,9623982.543
634962.941,9624083.512
634930.171,9624134.902
634863.242,9624195.901
634814.352,9624259.401
634795.932,9624295.601
634746.093,9624455.949
634761.704,9624489.156
634773.743,9624568.265
634802.979,9624678.331
634827.055,9624752.283
634910.281,9624814.701
634911.189,9624815.382
634912.29,9624816.208
635150.421,9624847.097
635151.668,9624847.259
635152.8,9624847.405
635153.154,9624849.005
635197.89,9625051.244
635161.06,9625197.922
635145.821,9625229.042
634926.743,9625560.509
634906.423,9625648.769
634922.303,9625759.258
634989.613,9625914.836
634918.494,9626086.285
634888.014,9626309.803
634893.094,9626649.52
634910.234,9626768.899
634957.563,9626918.165
634971.023,9626960.617
634976.274,9626977.177
634978.417,9626977.361
635065.173,9626984.797
635246.782,9627059.096
635296.311,9627062.906
635410.61,9627050.836
635444.27,9627067.986
635453.16,9627083.855
635528.235,9627192.576
635531.746,9627198.825
635531.512,9627199.584
635448.45,9627264.051
635447.44,9627264.834
635431.571,9627289.594
635426.323,9627308.514
635425.976,9627309.763
635425.455,9627311.643
635361.081,9627268.644
635327.432,9627262.294
635302.662,9627270.544
635302.159,9627271.967
635291.232,9627302.934
635284.252,9627379.763
635270.282,9627431.833
635240.432,9627481.362
635171.853,9627549.942
635148.993,9627555.662
635093.754,9627555.662
635060.734,9627541.692
635008.025,9627500.412
634968.025,9627478.823
634897.536,9627475.013
634862.216,9627495.643
634838.356,9627540.392
634819.486,9627555.732
634720.377,9627596.302
634686.718,9627618.522
634644.928,9627660.361
634637.468,9627662.541
634621.898,9627658.721
634606.078,9627631.862
634596.358,9627626.682
634583.578,9627627.932
634561.629,9627642.652
634540.039,9627649.642
634490.819,9627647.872
634425.74,9627662.342
634373.03,9627692.182
634314.021,9627752.121
634295.271,9627792.311
634284.561,9627826.23
634267.151,9627866.42
634242.222,9627899.19
634190.222,9627927.12
634181.582,9627948.939
634183.802,9627960.149
634212.382,9628024.919
634212.716,9628042.44
634212.739,9628043.612
634212.992,9628056.895
634212.993,9628056.948
634213.012,9628057.939
634176.823,9628127.158
634117.763,9628210.977
634068.824,9628254.337
634020.714,9628274.617
633966.025,9628275.297
633859.615,9628264.477
633784.396,9628249.077
633740.576,9628231.928
633721.517,9628209.898
633701.847,9628194.468
633674.137,9628180.708
633652.477,9628179.438
633597.258,9628185.178
633470.069,9628179.858
633426.889,9628183.668
633404.029,9628191.928
633333.55,9628237.648
633265.601,9628306.858
633237.431,9628350.747
633209.511,9628421.347
633172.232,9628503.166
633119.262,9628603.245
633102.43,9628639.699
633049.703,9628753.894
632986.204,9628873.273
632966.524,9628950.742
632971.604,9629065.041
632951.284,9629104.411
632868.735,9629188.23
632848.611,9629195.777
632848.415,9629195.85
632818.216,9629209.06
632791.896,9629214.27
632706.177,9629190.141
632669.977,9629193.951
632603.308,9629238.4
632565.958,9629248.21
632524.108,9629243.3
632445.189,9629217.441
632356.7,9629197.511
632273.74,9629169.181
632221.671,9629167.281
632175.321,9629177.441
632153.091,9629177.441
632127.062,9629186.961
632099.122,9629211.091
632076.892,9629258.081
632031.173,9629428.259
632014.033,9629463.189
631990.533,9629478.429
631864.804,9629513.989
631720.665,9629535.579
631657.796,9629528.589
631547.307,9629502.559
631498.407,9629496.239
631445.078,9629498.109
631380.308,9629513.989
631308.549,9629547.009
631264.74,9629576.849
631232.99,9629609.239
631186.63,9629674.008
631156.791,9629741.318
631137.101,9629762.267
631100.871,9629786.247
631055.192,9629801.637
630946.342,9629819.237
630907.793,9629833.867
630845.644,9629865.137
630811.984,9629864.507
630697.685,9629830.217
630675.605,9629827.478
630653.235,9629830.847
630637.915,9629839.267
630624.665,9629852.437
630616.555,9629878.147
630602.736,9629893.457
630580.846,9629900.067
630537.036,9629891.807
630346.958,9629820.418
630305.498,9629821.588
630286.848,9629830.218
630255.099,9629856.888
630222.709,9629921.657
630207.499,9629940.587
630194.769,9629950.227
630141.43,9629971.817
630090.63,9630010.557
630055.711,9630027.066
630032.871,9630031.306
630006.811,9630028.336
629941.412,9630010.557
629842.352,9630003.567
629773.773,9630009.287
629649.314,9630042.937
629614.384,9630045.477
629571.795,9630036.017
629487.615,9630032.477
629367.377,9630053.737
629259.428,9630054.367
629131.789,9630067.067
629099.409,9630061.987
629045.429,9630038.498
629027.794,9630036.982
629023.209,9630036.588
629003.56,9630038.368
628942.56,9630070.877
628903.191,9630076.597
628885.461,9630073.718
628867.001,9630065.168
628851.541,9630047.798
628829.531,9630010.558
628820.391,9630003.668
628807.311,9630001.028
628798.801,9630003.668
628771.752,9630027.068
628720.312,9630049.928
628524.46,9630086.246
628523.133,9630086.492
628520.157,9630087.044
628482.365,9630094.052
628482.365,9630123.574
628482.365,9630148.816
628482.365,9630224.221
628471.635,9630288.6
628469.612,9630300.795
628463.084,9630318.664
628390.755,9630516.644
628344.156,9630624.063
628343.62,9630625.298
628338.686,9630636.663
628327.256,9630688.733
628298.047,9630913.521
628205.338,9630961.781
628103.099,9631000.51
628078.309,9631109.729
628109.672,9631145.435
628102.032,9631305.303
628086.025,9631364.966
628083.114,9631401.345
628077.294,9631411.533
628023.449,9631434.816
627981.251,9631450.824
627911.399,9631478.47
627851.737,9631497.39
627800.807,9631535.225
627777.523,9631570.147
627785.796,9631658.734
627789.893,9631702.571
627810.263,9631756.415
627879.387,9632105.664
627974.701,9632511.663
628011.083,9632654.273
628081.662,9632923.483
628091.475,9632946.953
628091.549,9632947.129
628092.253,9632948.812
628094.98,9632955.334
628102.734,9632973.982
628102.775,9632973.974
628102.834,9632973.96
628103.719,9632973.756
628113.635,9633003.507
628139.019,9633055.967
628145.72,9633059.764
628160.241,9633086.466
628161.815,9633088.868
628162.898,9633090.522
628182.07,9633119.784
628215.539,9633170.868
628414.174,9633306.199
628432.132,9633317.165
628444.644,9633324.804
628465.665,9633337.639
628578.612,9633406.608
628879.111,9633661.265
629018.808,9633777.68
629377.516,9634058.534
629582.699,9634196.778
629658.368,9634259.352
