x,y
-79.7901,-3.2546
-79.7901,-3.2545
-79.7901,-3.2545
-79.7899,-3.2540
-79.7898,-3.2536
-79.7899,-3.2532
-79.7900,-3.2528
-79.7900,-3.2524
-79.7900,-3.2519
-79.7899,-3.2516
-79.7898,-3.2515
-79.7898,-3.2515
-79.7902,-3.2510
-79.7904,-3.2506
-79.7908,-3.2504
-79.7910,-3.2503
-79.7910,-3.2504
-79.7914,-3.2505
-79.7916,-3.2506
-79.7926,-3.2508
-79.7942,-3.2513
-79.7966,-3.2522
-79.7983,-3.2528
-79.8019,-3.2541
-79.8028,-3.2544
-79.8049,-3.2552
-79.8075,-3.2560
-79.8084,-3.2564
-79.8110,-3.2571
-79.8125,-3.2578
-79.8125,-3.2578
-79.8125,-3.2578
-79.8125,-3.2578
-79.8129,-3.2580
-79.8136,-3.2585
-79.8150,-3.2590
-79.8155,-3.2593
-79.8161,-3.2596
-79.8168,-3.2599
-79.8184,-3.2615
-79.8188,-3.2619
-79.8195,-3.2627
-79.8201,-3.2633
-79.8208,-3.2639
-79.8208,-3.2639
-79.8208,-3.2639
-79.8209,-3.2640
-79.8215,-3.2645
-79.8214,-3.2646
-79.8217,-3.2647
-79.8220,-3.2648
-79.8224,-3.2650
-79.8229,-3.2653
-79.8241,-3.2660
-79.8248,-3.2665
-79.8258,-3.2672
-79.8262,-3.2674
-79.8273,-3.2680
-79.8281,-3.2684
-79.8285,-3.2687
-79.8296,-3.2693
-79.8304,-3.2697
-79.8315,-3.2702
-79.8315,-3.2702
-79.8321,-3.2705
-79.8329,-3.2709
-79.8345,-3.2719
-79.8349,-3.2721
-79.8355,-3.2725
-79.8358,-3.2728
-79.8358,-3.2728
-79.8359,-3.2728
-79.8360,-3.2729
-79.8364,-3.2732
-79.8367,-3.2734
-79.8367,-3.2734
-79.8372,-3.2740
-79.8373,-3.2746
-79.8374,-3.2750
-79.8375,-3.2753
-79.8375,-3.2753
-79.8376,-3.2759
-79.8377,-3.2759
-79.8383,-3.2758
-79.8388,-3.2760
-79.8392,-3.2762
-79.8395,-3.2765
-79.8396,-3.2767
-79.8398,-3.2769
-79.8401,-3.2773
-79.8403,-3.2775
-79.8409,-3.2780
-79.8413,-3.2783
-79.8418,-3.2785
-79.8423,-3.2783
-79.8423,-3.2785
-79.8427,-3.2784
-79.8434,-3.2784
-79.8438,-3.2783
-79.8445,-3.2780
-79.8456,-3.2772
-79.8462,-3.2767
-79.8476,-3.2753
-79.8481,-3.2742
-79.8486,-3.2736
-79.8492,-3.2726
-79.8498,-3.2717
-79.8497,-3.2708
-79.8497,-3.2707
-79.8494,-3.2696
-79.8493,-3.2690
-79.8492,-3.2686
-79.8485,-3.2679
-79.8489,-3.2676
-79.8492,-3.2673
-79.8492,-3.2672
-79.8493,-3.2671
-79.8493,-3.2670
-79.8496,-3.2665
-79.8503,-3.2650
-79.8505,-3.2646
-79.8505,-3.2637
-79.8507,-3.2632
-79.8509,-3.2629
-79.8513,-3.2626
-79.8518,-3.2625
-79.8521,-3.2623
-79.8524,-3.2621
-79.8525,-3.2618
-79.8526,-3.2617
-79.8526,-3.2616
-79.8526,-3.2611
-79.8526,-3.2611
-79.8525,-3.2606
-79.8529,-3.2604
-79.8539,-3.2588
-79.8543,-3.2582
-79.8547,-3.2576
-79.8567,-3.2552
-79.8571,-3.2546
-79.8578,-3.2534
-79.8580,-3.2528
-79.8581,-3.2528
-79.8581,-3.2527
-79.8582,-3.2526
-79.8582,-3.2525
-79.8584,-3.2521
-79.8592,-3.2516
-79.8594,-3.2514
-79.8595,-3.2514
-79.8596,-3.2513
-79.8601,-3.2508
-79.8611,-3.2499
-79.8613,-3.2495
-79.8614,-3.2490
-79.8615,-3.2479
-79.8615,-3.2472
-79.8615,-3.2469
-79.8615,-3.2448
-79.8619,-3.2442
-79.8621,-3.2438
-79.8629,-3.2431
-79.8640,-3.2419
-79.8645,-3.2413
-79.8654,-3.2404
-79.8676,-3.2393
-79.8684,-3.2387
-79.8695,-3.2378
-79.8707,-3.2370
-79.8711,-3.2365
-79.8718,-3.2352
-79.8728,-3.2327
-79.8746,-3.2310
-79.8756,-3.2303
-79.8759,-3.2300
-79.8760,-3.2299
-79.8761,-3.2299
-79.8766,-3.2293
-79.8776,-3.2280
-79.8790,-3.2267
-79.8792,-3.2267
-79.8795,-3.2268
-79.8799,-3.2270
-79.8802,-3.2270
-79.8805,-3.2269
-79.8808,-3.2270
-79.8810,-3.2270
-79.8812,-3.2271
-79.8815,-3.2271
-79.8817,-3.2271
-79.8817,-3.2271
-79.8819,-3.2271
-79.8827,-3.2273
-79.8827,-3.2273
-79.8833,-3.2274
-79.8838,-3.2275
-79.8838,-3.2275
-79.8839,-3.2275
-79.8840,-3.2275
-79.8843,-3.2276
-79.8846,-3.2276
-79.8850,-3.2275
-79.8852,-3.2274
-79.8856,-3.2270
-79.8858,-3.2267
-79.8859,-3.2264
-79.8860,-3.2261
-79.8860,-3.2260
-79.8860,-3.2256
-79.8860,-3.2252
-79.8859,-3.2251
-79.8859,-3.2249
-79.8860,-3.2247
-79.8856,-3.2240
-79.8856,-3.2239
-79.8858,-3.2237
-79.8860,-3.2234
-79.8864,-3.2229
-79.8868,-3.2223
-79.8872,-3.2214
-79.8877,-3.2202
-79.8880,-3.2197
-79.8881,-3.2196
-79.8913,-3.2167
-79.8937,-3.2145
-79.8948,-3.2138
-79.8956,-3.2134
-79.8956,-3.2134
-79.8963,-3.2134
-79.8967,-3.2134
-79.8967,-3.2134
-79.8968,-3.2134
-79.8968,-3.2134
-79.8968,-3.2133
-79.8969,-3.2133
-79.8969,-3.2133
-79.8969,-3.2133
-79.8971,-3.2134
-79.8976,-3.2135
-79.8980,-3.2135
-79.8981,-3.2136
-79.8981,-3.2136
-79.8984,-3.2139
-79.8984,-3.2143
-79.8985,-3.2147
-79.8985,-3.2147
-79.8985,-3.2156
-79.8985,-3.2160
-79.8989,-3.2165
-79.8994,-3.2169
-79.8993,-3.2175
-79.8993,-3.2177
-79.8989,-3.2192
-79.8987,-3.2198
-79.8986,-3.2206
-79.8986,-3.2215
-79.8986,-3.2217
-79.8988,-3.2229
-79.8987,-3.2235
-79.8984,-3.2242
-79.8981,-3.2245
-79.8975,-3.2252
-79.8972,-3.2264
-79.8973,-3.2272
-79.8976,-3.2282
-79.8979,-3.2288
-79.8982,-3.2295
-79.8984,-3.2299
-79.8985,-3.2305
-79.8984,-3.2310
-79.8983,-3.2314
-79.8978,-3.2321
-79.8965,-3.2323
-79.8960,-3.2325
-79.8957,-3.2331
-79.8955,-3.2338
-79.8954,-3.2344
-79.8954,-3.2347
-79.8956,-3.2350
-79.8958,-3.2354
-79.8961,-3.2359
-79.8963,-3.2362
-79.8970,-3.2369
-79.8973,-3.2377
-79.8973,-3.2384
-79.8973,-3.2390
-79.8972,-3.2395
-79.8970,-3.2400
-79.8968,-3.2404
-79.8964,-3.2410
-79.8962,-3.2416
-79.8966,-3.2415
-79.8972,-3.2414
-79.8976,-3.2413
-79.8981,-3.2412
-79.8986,-3.2410
-79.8986,-3.2409
-79.8990,-3.2407
-79.8995,-3.2403
-79.8995,-3.2403
-79.9000,-3.2398
-79.9004,-3.2394
-79.9009,-3.2386
-79.9011,-3.2383
-79.9011,-3.2382
-79.9015,-3.2376
-79.9018,-3.2371
-79.9023,-3.2359
-79.9025,-3.2356
-79.9027,-3.2352
-79.9028,-3.2351
-79.9030,-3.2349
-79.9035,-3.2345
-79.9040,-3.2344
-79.9047,-3.2343
-79.9051,-3.2341
-79.9056,-3.2340
-79.9061,-3.2338
-79.9065,-3.2336
-79.9065,-3.2336
-79.9067,-3.2334
-79.9068,-3.2332
-79.9071,-3.2329
-79.9074,-3.2326
-79.9077,-3.2323
-79.9081,-3.2320
-79.9085,-3.2318
-79.9090,-3.2318
-79.9092,-3.2319
-79.9095,-3.2319
-79.9098,-3.2320
-79.9102,-3.2323
-79.9104,-3.2324
-79.9108,-3.2326
-79.9109,-3.2327
-79.9109,-3.2327
-79.9112,-3.2329
-79.9115,-3.2330
-79.9117,-3.2330
-79.9119,-3.2330
-79.9122,-3.2329
-79.9124,-3.2328
-79.9126,-3.2327
-79.9127,-3.2326
-79.9132,-3.2322
-79.9137,-3.2319
-79.9143,-3.2316
-79.9149,-3.2314
-79.9155,-3.2313
-79.9158,-3.2310
-79.9162,-3.2308
-79.9166,-3.2306
-79.9168,-3.2305
-79.9170,-3.2304
-79.9175,-3.2303
-79.9182,-3.2302
-79.9186,-3.2302
-79.9191,-3.2302
-79.9195,-3.2302
-79.9195,-3.2302
-79.9201,-3.2302
-79.9208,-3.2305
-79.9212,-3.2308
-79.9214,-3.2309
-79.9220,-3.2311
-79.9221,-3.2311
-79.9222,-3.2311
-79.9226,-3.2312
-79.9230,-3.2312
-79.9234,-3.2312
-79.9240,-3.2310
-79.9244,-3.2307
-79.9246,-3.2306
-79.9251,-3.2302
-79.9257,-3.2299
-79.9262,-3.2299
-79.9268,-3.2299
-79.9271,-3.2301
-79.9274,-3.2304
-79.9277,-3.2309
-79.9279,-3.2312
-79.9280,-3.2314
-79.9282,-3.2316
-79.9286,-3.2319
-79.9287,-3.2319
-79.9290,-3.2320
-79.9295,-3.2320
-79.9295,-3.2320
-79.9300,-3.2320
-79.9303,-3.2319
-79.9303,-3.2319
-79.9306,-3.2318
-79.9316,-3.2317
-79.9317,-3.2317
-79.9322,-3.2319
-79.9328,-3.2322
-79.9331,-3.2323
-79.9335,-3.2325
-79.9340,-3.2328
-79.9345,-3.2330
-79.9346,-3.2331
-79.9346,-3.2331
-79.9351,-3.2331
-79.9351,-3.2331
-79.9353,-3.2331
-79.9359,-3.2330
-79.9361,-3.2330
-79.9362,-3.2330
-79.9365,-3.2328
-79.9367,-3.2327
-79.9370,-3.2326
-79.9375,-3.2324
-79.9375,-3.2324
-79.9379,-3.2324
-79.9384,-3.2325
-79.9388,-3.2326
-79.9392,-3.2330
-79.9398,-3.2335
-79.9402,-3.2338
-79.9406,-3.2340
-79.9409,-3.2340
-79.9413,-3.2341
-79.9418,-3.2341
-79.9425,-3.2341
-79.9429,-3.2340
-79.9434,-3.2337
-79.9437,-3.2334
-79.9439,-3.2331
-79.9440,-3.2330
-79.9444,-3.2325
-79.9445,-3.2323
-79.9448,-3.2318
-79.9451,-3.2313
-79.9452,-3.2311
-79.9453,-3.2308
-79.9454,-3.2305
-79.9455,-3.2297
-79.9455,-3.2290
-79.9453,-3.2286
-79.9449,-3.2280
-79.9447,-3.2277
-79.9445,-3.2272
-79.9443,-3.2269
-79.9443,-3.2266
-79.9442,-3.2262
-79.9442,-3.2262
-79.9442,-3.2259
-79.9442,-3.2257
-79.9444,-3.2254
-79.9444,-3.2254
-79.9445,-3.2251
-79.9449,-3.2248
-79.9453,-3.2244
-79.9456,-3.2241
-79.9457,-3.2241
-79.9458,-3.2234
-79.9463,-3.2232
-79.9466,-3.2229
-79.9468,-3.2226
-79.9468,-3.2221
-79.9469,-3.2216
-79.9469,-3.2211
-79.9470,-3.2206
-79.9472,-3.2200
-79.9476,-3.2195
-79.9481,-3.2193
-79.9487,-3.2191
-79.9492,-3.2191
-79.9497,-3.2190
-79.9502,-3.2188
-79.9505,-3.2185
-79.9508,-3.2180
-79.9509,-3.2180
-79.9509,-3.2180
-79.9509,-3.2175
-79.9509,-3.2175
-79.9510,-3.2170
-79.9509,-3.2164
-79.9508,-3.2154
-79.9507,-3.2149
-79.9506,-3.2144
-79.9503,-3.2137
-79.9502,-3.2136
-79.9500,-3.2134
-79.9499,-3.2133
-79.9497,-3.2132
-79.9495,-3.2131
-79.9495,-3.2131
-79.9490,-3.2131
-79.9486,-3.2130
-79.9481,-3.2130
-79.9476,-3.2129
-79.9471,-3.2127
-79.9466,-3.2124
-79.9461,-3.2120
-79.9459,-3.2118
-79.9455,-3.2113
-79.9454,-3.2109
