x,$y
627552.59,9627899.9
627579.237,9627896.75
627596.519,9627887.981
627631.513,9627858.542
627632.446,9627857.758
627685.654,9627814.51
627710.859,9627798.976
627713.834,9627797.143
627746.44,9627781.648
627767.142,9627773.38
627812.352,9627768.859
627817.417,9627768.915
627866.174,9627774.766
627920.42,9627781.275
628017.284,9627806.566
628067.993,9627809.62
628068.626,9627809.658
628068.931,9627809.677
628073.935,9627809.978
628158.813,9627784.496
628169.542,9627781.275
628230.767,9627760.163
628266.658,9627726.384
628308.882,9627663.048
628336.327,9627612.379
628383.226,9627581.793
628384.885,9627580.711
628412.331,9627578.6
628471.444,9627580.056
628498.89,9627618.713
628520.002,9627675.715
628530.558,9627781.275
628524.225,9627888.947
628526.336,9627933.282
628568.56,9627969.172
628649.563,9627964.916
628684.389,9627974.415
628751.824,9627987.774
628807.126,9628032.508
628864.128,9628066.288
628923.242,9628089.511
628926.06,9628088.667
628949.725,9628081.579
628963.437,9628081.001
628978.25,9628078.703
628986.742,9628064.847
628988.722,9628048.118
628994.979,9628024.94
629003.622,9627963.931
629005.834,9627948.32
629014.568,9627891.105
629016.624,9627877.637
629023.967,9627857.907
629032.523,9627844.881
629058.766,9627830.77
629086.094,9627822.661
629131.236,9627816.404
629168.972,9627819.788
629189.635,9627820.721
629195.853,9627821.001
629219.095,9627830.004
629234.802,9627840.348
629248.211,9627854.076
629272.857,9627900.112
629298.653,9627955.215
629325.481,9628001.593
629344.479,9628018.48
629357.587,9628026.984
629374.74,9628032.508
629395.451,9628039.179
629422.906,9628037.774
629483.565,9628038.221
629524.812,9628045.82
629533.342,9628048.952
629539.242,9628051.119
629555.205,9628058.079
629601.624,9628088.408
629629.144,9628126.144
629648.082,9628163.356
629649.496,9628165.514
629695.805,9628251.272
629721.089,9628279.641
629804.12,9628348.413
629807.351,9628351.09
629869.223,9628372.224
629920.686,9628378.929
629926.685,9628379.538
629939.787,9628380.868
630133.884,9628400.574
630179.027,9628406.675
630211.846,9628411.109
630219.538,9628412.427
630230.107,9628414.238
630243.579,9628416.984
630266.182,9628413.6
630290.254,9628403.32
630303.024,9628392.593
630303.487,9628392.065
630308.95,9628385.835
630322.365,9628365.712
630335.535,9628347.961
630341.335,9628335.446
630341.389,9628323.087
630339.047,9628308.642
630335.78,9628301.478
630334.243,9628299.03
630322.611,9628287.696
630302.007,9628267.621
630276.674,9628247.075
630254.722,9628229.271
630184.482,9628172.305
630155.795,9628144.544
630131.562,9628109.54
630130.496,9628107.497
630121.278,9628079.357
630118.815,9628069.061
630114.006,9628043.289
630114.869,9628030.561
630116.929,9628000.183
630125.657,9627977.674
630127.13,9627973.875
630129.797,9627970.157
630137.076,9627962.878
630146.59,9627958.791
630182.219,9627941.424
630227.106,9627922.141
630261.649,9627914.415
630286.359,9627909.818
630310.112,9627911.286
630337.504,9627919.842
630369.554,9627938.582
630384.242,9627947.17
630424.724,9627974.115
630440.795,9627986.912
630462.013,9628003.806
630494.245,9628011.401
630529.056,9628010.51
630577.179,9628009.279
630617.042,9627999.592
630652.582,9627990.955
630707.472,9627977.616
630751.515,9627970.919
630755.439,9627970.658
630809.406,9627967.06
630838.579,9627975.346
630908.049,9627971.827
630953.567,9627945.265
631007.848,9627921.383
631009.767,9627920.983
631075.646,9627907.265
631168.963,9627894.025
631231.333,9627895.461
631294.342,9627917.634
631355.436,9627945.389
631447.477,9627923.376
631494.215,9627842.183
631536.167,9627758.437
631545.898,9627704.521
631542.835,9627677.455
631539.039,9627643.905
631563.125,9627580.418
631621.508,9627541.496
631648.945,9627522.514
631661.07,9627521.202
631691.695,9627517.888
631759.01,9627500.501
631837.97,9627472.905
631887.57,9627441.152
631921.693,9627401.787
631923.79,9627399.368
631956.224,9627361.951
631988.727,9627318.74
632024.356,9627251.644
632044.515,9627192.318
632079.68,9627058.136
632096.869,9626952.231
632107.152,9626888.877
632108.367,9626881.387
632131.966,9626809.865
632138.178,9626787.786
632175.273,9626655.952
632192.578,9626545.47
632217.563,9626387.229
632224.492,9626360.25
632252.6,9626250.811
632261.057,9626217.883
632290.669,9626104.06
632328.61,9626029.103
632328.61,9625847.089
632328.61,9625782.949
632346.428,9625600.313
632347.118,9625593.245
632346.965,9625588.888
632346.444,9625574.05
632346.148,9625565.609
632345.267,9625540.497
632345.247,9625536.732
632344.502,9625397.353
632344.342,9625367.449
632320.282,9625255.477
632296.221,9625107.415
632302.699,9624914.934
632306.401,9624852.007
632320.282,9624702.181
632374.104,9624498.271
632386.877,9624449.881
632397.997,9624418.87
632400.097,9624413.016
632446.13,9624284.644
632446.566,9624283.429
632447.188,9624281.694
632445.184,9624270.167
632439.408,9624210.54
632472.054,9624139.723
632500.18,9624061.373
632502.959,9624055.452
632510.825,9624008.997
632514.351,9623991.67
632520.909,9623959.437
632527.211,9623928.459
632535.763,9623886.426
632540.01,9623865.552
632542.215,9623840.424
632549.661,9623755.585
632488.318,9623550.528
632490.871,9623527.354
632511.554,9623339.606
632525.519,9623266.066
632525.861,9623264.264
632569.968,9623182.837
632572.776,9623178.05
632604.201,9623110.256
632616.164,9623075.163
632621.588,9623032.094
632632.487,9622945.539
632627.363,9622905.472
632627.481,9622903.338
632623.977,9622833.256
632623.977,9622824.129
632623.977,9622780.694
632673.035,9622700.099
632767.646,9622637.024
632827.593,9622620.855
632841.241,9622597.574
632857.415,9622583.926
632887.181,9622558.811
