x,y
625326.075,9632666.679
625309.295,9632691.699
625304.625,9632713.719
625307.845,9632731.289
625316.923,9632741.513
625322.425,9632747.709
625524.103,9632887.587
625543.158,9632906.16
625550.613,9632913.427
625560.803,9632929.757
625561.483,9632940.297
625524.453,9633031.776
625472.444,9633131.075
625468.924,9633150.005
625497.404,9633293.384
625489.204,9633492.722
625464.585,9633740.21
625430.835,9633752.94
625125.628,9633846.459
625100.042,9633853.904
625096.758,9633854.859
625095.336,9633855.273
625059.23,9633865.786
625056.921,9633866.458
625063.187,9633872.341
625134.309,9633990.197
625136.508,9634035.833
625136.782,9634041.509
625145.874,9634230.148
625150.334,9634340.1
625165.192,9634396.558
625181.535,9634423.304
625282.571,9634466.396
625511.387,9634552.571
625667.397,9634619.432
625951.192,9634711.556
626061.352,9634760.197
626076.662,9634766.496
626076.666,9634766.498
626084.549,9634769.347
626084.268,9634769.539
626089.567,9634771.659
626107.25,9634778.732
626127.684,9634786.906
626136.342,9634790.369
626184.465,9634809.619
626221.61,9634818.534
626418.627,9634879.969
626421.417,9634880.839
626497.974,9634904.711
626692.616,9634973.057
626775.822,9635011.691
627172.537,9635170.671
627258.714,9635206.331
627279.117,9635227.413
627279.126,9635227.423
627295.293,9635244.127
627300.189,9635249.187
627299.928,9635251.059
627299.646,9635253.086
627292.301,9635305.754
627288.691,9635364.164
627291.401,9635460.603
627239.651,9635520.462
627211.782,9635549.742
627181.422,9635594.262
627163.802,9635646.361
627093.383,9635875.069
627072.993,9635924.659
627087.233,9635933.489
627131.813,9635954.949
627185.292,9635975.118
627233.652,9635985.138
627295.431,9635991.128
627396.451,9635996.108
627543.959,9635998.238
627587.219,9636007.008
627675.088,9636044.847
627724.788,9636075.177
627803.817,9636128.286
627955.556,9636249.745
627991.276,9636281.385
628025.726,9636316.834
628052.555,9636351.034
628066.705,9636397.974
628060.736,9636507.173
628062.196,9636561.762
628068.726,9636609.992
628082.845,9636648.041
628110.985,9636696.201
628183.875,9636812.79
628192.785,9636839.18
628213.435,9636900.319
628250.764,9637030.978
628300.894,9637183.187
628316.284,9637221.236
628341.864,9637263.056
628381.434,9637307.385
628422.243,9637339.015
628474.433,9637355.375
628514.599,9637365.532
628519.303,9637366.721
628524.063,9637367.925
628571.132,9637371.605
628588.8,9637369.914
628590.059,9637370.129
628604.872,9637372.658
628619.73,9637414.261
628624.507,9637476.352
628625.166,9637484.921
628624.363,9637484.851
628623.199,9637553.669
628624.077,9637569.714
628683.464,9637553.727
628734.447,9637572.579
628778.848,9637603.877
628845.322,9637664.583
628863.58,9637682.459
628896.536,9637726.41
628919.085,9637750.079
628934.307,9637766.057
628967.102,9637806.15
629014.857,9637830.34
629066.15,9637841.788
629133.67,9637839.229
629140.832,9637837.646
629192.19,9637826.289
629240.274,9637803.995
629292.937,9637763.174
629355.425,9637666.204
